"Variables","Importance","Boruta1","Boruta2"
"X7.16_356.2423m.z",0.01,0,0
"X8.92_401.3036m.z",0.13,0,0
"X8.78_557.3235m.z",0.19,0,0
"X9.45_410.2889m.z",0.04,0,0
"X8.39_367.2983m.z",0.06,0,0
"X8.39_614.3671n",0.01,0,0
"X8.39_561.3413m.z",0.01,0,0
"X8.39_403.3196m.z",0.02,0,0
"X8.39_385.3087m.z",0.03,0,0
"X8.08_572.2703m.z",0.07,0,0
"X8.02_138.0549m.z",0.05,0,0
"X8.02_595.3708n",0.03,0,0
"X8.08_577.2297m.z",0.08,0,0
"X8.16_553.2930m.z",0.03,0,0
"X8.12_204.0869m.z",0.41,0,1
"X8.60_590.3298m.z",0.03,0,0
"X8.61_625.3491n",0.02,0,0
"X8.66_544.3214m.z",0.5,0,1
"X8.63_383.2661n",0.01,0,0
"X8.63_479.2244m.z",0.03,0,0
"X8.39_543.3295m.z",0.04,0,0
"X8.39_349.2875m.z",0.02,0,0
"X8.53_330.2629m.z",0.03,0,0
"X8.47_648.3355m.z",0.04,0,0
"X5.64_235.1686m.z",0.05,0,0
"X5.67_237.1838m.z",0.04,0,0
"X5.82_303.2106n",0.16,0,0
"X5.79_434.0622n",0.06,0,0
"X5.35_400.2660m.z",0,0,0
"X5.24_576.3107m.z",0.06,0,0
"X5.38_478.2726m.z",0,0,0
"X5.45_476.2453m.z",0.05,0,0
"X5.46_530.2664m.z",0.03,0,0
"X6.35_329.2194n",0.04,0,0
"X6.47_296.1628n",0.05,0,0
"X6.71_344.2408m.z",0.03,0,0
"X6.08_478.2616m.z",0.03,0,0
"X5.93_535.2449m.z",0.07,0,0
"X5.97_666.3705n",0.14,0,1
"X5.99_148.1243n",0.05,0,0
"X6.27_300.3519m.z",0.04,0,0
"X6.27_139.1107m.z",0.03,0,0
"X6.27_303.2241m.z",0.05,0,0
"X6.16_601.2910n",0.28,0,1
"X6.17_477.2606m.z",0.06,0,0
"X6.17_526.3084m.z",0.04,0,0
"X6.17_138.0552m.z",0.65,1,1
"X6.17_168.0663m.z",1.86,1,1
"X6.17_646.2635m.z",0.1,0,0
"X1.34_429.1163m.z",0.24,0,1
"X1.35_262.0181m.z",0,0,0
"X1.36_231.2607m.z",0.05,0,0
"X1.36_159.0759m.z",0.02,0,0
"X1.36_206.1375m.z",0.04,0,0
"X1.36_201.0864m.z",0.04,0,0
"X1.36_501.1493m.z",0.03,0,0
"X1.36_217.1309n",0.01,0,0
"X1.35_490.0802n",0.01,0,0
"X1.35_234.0492n",0.03,0,0
"X1.35_235.5559m.z",0.01,0,0
"X1.28_934.3362m.z",0,0,0
"X1.32_351.0487n",0.04,0,0
"X1.31_585.1980m.z",0.04,0,0
"X1.36_115.0860m.z",0.02,0,0
"X1.43_201.1111n",0.08,0,0
"X1.44_143.0340m.z",0.04,0,0
"X1.44_117.0176m.z",0.09,0,0
"X1.44_130.9846n",0.05,0,0
"X1.44_190.0459n",0.01,0,0
"X1.44_128.0102m.z",0.03,0,0
"X1.43_202.2282m.z",0.05,0,0
"X1.40_193.5687m.z",0.06,0,0
"X1.37_205.0503m.z",0.04,0,0
"X1.37_202.1593m.z",0.03,0,0
"X1.38_888.3297m.z",0.03,0,0
"X1.36_156.0892n",0.09,0,0
